hotel_id,google_place_id,hotel_name,address,latitude,longitude,rating,review_count,area,hotel_type,price_level,review_volume,average_sentiment,positive_review_ratio,negative_review_ratio,cleanliness_score,service_score,location_score,value_for_money_score,staff_behavior_score,area_cluster,budget_category,popularity_score,rating_score,sentiment_score,trust_score
ChIJpV-ywbQVDTkRqWm6FgM6WCM,ChIJpV-ywbQVDTkRqWm6FgM6WCM,Haveli Hotel & Family Restaurant,"Pataudi Road, 13 Milestone, NH-352, near CNG Pump, Gurugram",28.4106689,76.8929141,4.6,102.0,near CNG Pump,hotel,,5.0,0.6068608885630965,0.6,0.4,0.5,0.5086046613287181,0.5,0.999887228012085,0.999887228012085,Other,Mid-Range,0.4314460575440993,4.6,0.6068608885630965,0.7500992054159974
ChIJm053GEI-DTkRwKJuNdfAyLw,ChIJm053GEI-DTkRwKJuNdfAyLw,Jps Residency & Hospitality Services,"opp. 446 E, Sector 8, Imt Manesar, Gurugram",28.3810035,76.8864609,3.9,1714.0,Imt Manesar,hotel,,5.0,0.600046572892461,0.6,0.4,0.0002642081235535,0.9998639822006226,0.99704247713089,0.5,0.5015340191312134,Imt Manesar,Mid-Range,0.6932555143518563,3.9,0.600046572892461,0.7105566213921053
ChIJkTyoKUkVDTkR8L5-ZWny4t8,ChIJkTyoKUkVDTkR8L5-ZWny4t8,Hotel O Royal Guest House,"13, Gurugram Rd, Sector 11, Farukh Nagar",28.4466,76.831032,4.0,162.0,Sector 11,hotel,,5.0,0.8291362732648848,0.8,0.2,0.9998620748519896,0.9590306878089904,0.9794212579727172,0.9794473946094512,0.9998369514942168,Other,Mid-Range,0.474176256655733,4.0,0.8291362732648848,0.7503423747096928
ChIJAxoZFF0-DTkRrQYeGhnCS1c,ChIJAxoZFF0-DTkRrQYeGhnCS1c,Oyo 14100 Hotel D Meridien,"plot no 16, Sector 8, Imt Manesar, Manesar, Gurugram",28.3724453,76.8933833,3.9,790.0,Manesar,hotel,,5.0,0.4129370585782453,0.4,0.6,0.5,0.01509112509666,0.3545042797923088,0.0013292137300595,0.0352727361023425,Manesar,Budget,0.6212160638350902,3.9,0.4129370585782453,0.635538250821179
ChIJkUS0a7hrDTkR8_OhQzGLVjE,ChIJkUS0a7hrDTkR8_OhQzGLVjE,Hotel O Yuvraj Plaza,"21, Street No 2, Road, opp. Nayara Petrol Pump, Pataudi, Farukh Nagar",28.44442,76.8177,4.0,24.0,Pataudi,hotel,,4.0,0.7251613246335182,0.75,0.25,0.5,0.5,0.5,0.5,0.001931531005539,Other,Mid-Range,0.2996445504991384,4.0,0.7251613246335182,0.6800478767983552
ChIJ64_MiLE_DTkRGOHzyJ5UpDM,ChIJ64_MiLE_DTkRGOHzyJ5UpDM,Nature Valley Resort - Manesar,"Prem Nagar Dhani, Gurugram",28.3737457,76.8622613,3.6,283.0,Prem Nagar Dhani,hotel,,5.0,0.4913784482516348,0.4,0.6,0.727084219455719,0.9996734857559204,0.5,0.5,0.8180047671000162,Other,Luxury,0.5258619587925035,3.6,0.4913784482516348,0.6004027094613806
ChIJockhMFI_DTkRlyEKfQmbwZU,ChIJockhMFI_DTkRlyEKfQmbwZU,Hotel O J M K Hotel,"Taj nagar, Plot no-1, Farrukh Nagar - Panchgaon Rd, near T C I, LogisticFarrukh Nagar, Gurugram, Sanpka",28.3786012,76.83006859999999,4.7,9.0,Gurugram,hotel,,2.0,0.999863862991333,1.0,0.0,0.9998700618743896,0.999863862991333,0.5,0.9998700618743896,0.9998700618743896,Gurugram,Mid-Range,0.2143472170767782,4.7,0.999863862991333,0.8426015211522326
ChIJhe8U-lo_DTkRUQkm2haPpZ8,ChIJhe8U-lo_DTkRUQkm2haPpZ8,Collection O The Royal Fern,"Pataudi Road, near civil hospital, Manesar, Farukh Nagar",28.445004,76.8163087,4.5,8.0,Manesar,hotel,,3.0,0.6672183000482619,0.6666666666666666,0.3333333333333333,0.5008984392043203,0.5,0.999858021736145,0.5,0.5008984392043203,Manesar,Mid-Range,0.2045392263146805,4.5,0.6672183000482619,0.7078003693430801
ChIJu85bG-QVDTkRHw-yR_kKZU4,ChIJu85bG-QVDTkRHw-yR_kKZU4,Hotel O Aashiyana,"Mustil No. 130, Khewat No. 97, Farukh Nagar - Wazirpur Rd, Farukh Nagar, Gurgaon",28.4462525,76.8326392,4.9,8.0,Farukh Nagar,hotel,,2.0,0.9998076260089874,1.0,0.0,0.9997660517692566,0.5,0.5,0.5,0.9998076260089874,Other,Mid-Range,0.2045392263146805,4.9,0.9998076260089874,0.8670843606782019
ChIJOQBN0w8_DTkR2kC7ccAduAs,ChIJOQBN0w8_DTkR2kC7ccAduAs,Hotel O Billu,"Amazon dell 4, Manesar, Jamalpur",28.3735188,76.8353369,3.8,5.0,Manesar,hotel,,1.0,0.9998787641525269,1.0,0.0,0.5,0.5,0.5,0.5,0.5,Manesar,Mid-Range,0.1667945549845492,3.8,0.9998787641525269,0.7128510336228955
