hotel_id,google_place_id,hotel_name,address,latitude,longitude,rating,review_count,area,hotel_type,price_level
ChIJpV-ywbQVDTkRqWm6FgM6WCM,ChIJpV-ywbQVDTkRqWm6FgM6WCM,Haveli Hotel & Family Restaurant,"Pataudi Road, 13 Milestone, NH-352, near CNG Pump, Gurugram",28.4106689,76.8929141,4.6,102.0,near CNG Pump,hotel,
ChIJm053GEI-DTkRwKJuNdfAyLw,ChIJm053GEI-DTkRwKJuNdfAyLw,Jps Residency & Hospitality Services,"opp. 446 E, Sector 8, Imt Manesar, Gurugram",28.3810035,76.8864609,3.9,1714.0,Imt Manesar,hotel,
ChIJkTyoKUkVDTkR8L5-ZWny4t8,ChIJkTyoKUkVDTkR8L5-ZWny4t8,Hotel O Royal Guest House,"13, Gurugram Rd, Sector 11, Farukh Nagar",28.4466,76.831032,4.0,162.0,Sector 11,hotel,
ChIJAxoZFF0-DTkRrQYeGhnCS1c,ChIJAxoZFF0-DTkRrQYeGhnCS1c,Oyo 14100 Hotel D Meridien,"plot no 16, Sector 8, Imt Manesar, Manesar, Gurugram",28.3724453,76.8933833,3.9,790.0,Manesar,hotel,
ChIJkUS0a7hrDTkR8_OhQzGLVjE,ChIJkUS0a7hrDTkR8_OhQzGLVjE,Hotel O Yuvraj Plaza,"21, Street No 2, Road, opp. Nayara Petrol Pump, Pataudi, Farukh Nagar",28.44442,76.8177,4.0,24.0,Pataudi,hotel,
ChIJ64_MiLE_DTkRGOHzyJ5UpDM,ChIJ64_MiLE_DTkRGOHzyJ5UpDM,Nature Valley Resort - Manesar,"Prem Nagar Dhani, Gurugram",28.3737457,76.8622613,3.6,283.0,Prem Nagar Dhani,hotel,
ChIJockhMFI_DTkRlyEKfQmbwZU,ChIJockhMFI_DTkRlyEKfQmbwZU,Hotel O J M K Hotel,"Taj nagar, Plot no-1, Farrukh Nagar - Panchgaon Rd, near T C I, LogisticFarrukh Nagar, Gurugram, Sanpka",28.3786012,76.83006859999999,4.7,9.0,Gurugram,hotel,
ChIJhe8U-lo_DTkRUQkm2haPpZ8,ChIJhe8U-lo_DTkRUQkm2haPpZ8,Collection O The Royal Fern,"Pataudi Road, near civil hospital, Manesar, Farukh Nagar",28.445004,76.8163087,4.5,8.0,Manesar,hotel,
ChIJu85bG-QVDTkRHw-yR_kKZU4,ChIJu85bG-QVDTkRHw-yR_kKZU4,Hotel O Aashiyana,"Mustil No. 130, Khewat No. 97, Farukh Nagar - Wazirpur Rd, Farukh Nagar, Gurgaon",28.4462525,76.8326392,4.9,8.0,Farukh Nagar,hotel,
ChIJOQBN0w8_DTkR2kC7ccAduAs,ChIJOQBN0w8_DTkR2kC7ccAduAs,Hotel O Billu,"Amazon dell 4, Manesar, Jamalpur",28.3735188,76.8353369,3.8,5.0,Manesar,hotel,
ChIJsea-6yc-DTkRx23SJV-zrfo,ChIJsea-6yc-DTkRx23SJV-zrfo,Nature Valley Resort,"CV4M+JW5, Gali Number 12, Sector 97, Gurugram",28.4065057,76.8848646,4.4,14.0,Sector 97,hotel,
ChIJQ1w43W4VDTkRLtF4zn4EqHM,ChIJQ1w43W4VDTkRLtF4zn4EqHM,Hotel O City Palace,"Bala G Nagar, Farukh Nagar - Wazirpur Rd, near Ice Factory, opp. PNB bank, Farukh Nagar, Gurugram",28.4459516,76.83720629999999,3.5,14.0,Farukh Nagar,hotel,
ChIJQyBpbkVrDTkRN-vCqZuLFWc,ChIJQyBpbkVrDTkRN-vCqZuLFWc,D Akant Hotal,Farrukh Nagar - Panchgaon Rd,28.4296755,76.8226679,3.9,41.0,,hotel,
ChIJjXIMuls9DTkRhBhavLC_ajo,ChIJjXIMuls9DTkRhBhavLC_ajo,Holiday Inn Gurugram Sector 90 By Ihg,"Sector 90, Gurugram, Meoka",28.4042472,76.9362258,4.3,4386.0,Gurugram,hotel,
ChIJtzqgI2U-DTkRsyjuU_lRS18,ChIJtzqgI2U-DTkRsyjuU_lRS18,Paradise Inn Hotel,"Behind Annantraj Building, Near, Sector 8 Rd, Imt Manesar, Gurugram",28.3740058,76.905338,3.7,812.0,Imt Manesar,hotel,
ChIJl3iEtgsXDTkRiPiStrNCuOo,ChIJl3iEtgsXDTkRiPiStrNCuOo,Hotel Rajmahal Suites,"near Aarvy Healthcare Hospital, Hayatpur, Sector 93, Gurugram",28.4185807,76.9385294,4.7,31.0,Sector 93,hotel,
